algorithm,benchmark,seed,best_weight,feasible,max_stress,max_displacement,wall_time_s,n_evals,pareto_n_points
ga,10-bar planar,42,5086.820078358634,True,20887.96879674708,1.999992833715352,12.346886583000014,50000,0
ga,10-bar planar,123,5078.071765368408,True,20469.374135760776,2.0,12.410097874999337,50000,0
ga,10-bar planar,456,5081.333094960245,True,20203.26916684772,1.9999907711089286,12.686520084000222,50000,0
ga,10-bar planar,789,5067.624986528285,True,24797.47304262572,1.9999985266869618,12.884476916000494,50000,0
ga,10-bar planar,2024,5079.540788168499,True,20719.530201831218,1.999993449674098,12.46175037499961,50000,0
ga,10-bar planar,31415,5078.275234368322,True,20643.46805595562,1.9999644855667507,12.451717500000086,50000,0
ga,10-bar planar,27182,5070.1917412105795,True,24503.190928688626,1.999999974495975,12.101153458999761,50000,0
ga,10-bar planar,11235,5075.561493923113,True,24780.383739292818,1.9999999999999996,12.111916374999964,50000,0
ga,10-bar planar,8675309,5078.957402377186,True,20058.285555396757,1.999997767783209,12.322060208000039,50000,0
ga,10-bar planar,9999,5062.783330110654,True,24842.758757437936,1.9999999960234855,12.188391333000254,50000,0
