algorithm,benchmark,seed,best_weight,feasible,max_stress,max_displacement,wall_time_s,n_evals,pareto_n_points
nsga2,200-bar planar stepped tower,42,9579.715261371963,True,7580806.262502709,0.0007727525651896064,140.3996724589997,15000,100
nsga2,200-bar planar stepped tower,123,5824.172292017696,True,21504243.43190964,0.00144220179577206,123.66763541599994,15000,100
nsga2,200-bar planar stepped tower,456,7454.003136598222,True,18098300.359119255,0.0011873574019425816,128.00935200000004,15000,100
