benchmark,algorithm,n_seeds,best,mean,std,feasible_frac,mean_evals,mean_time_s,lit_opt,pct_err_best
10-bar planar,ga,10,5062.783330110654,5075.915991537392,7.109829717691269,1.0,50000.0,12.396497070799978,5060.85,0.03820168767407677
10-bar planar,nsga2,3,5081.514968242889,5098.383974771678,14.621679795865866,1.0,30000.0,20.34508559733331,5060.85,0.4083299888929486
10-bar planar,pso,5,5061.04908176561,5064.697997060857,7.208386713596238,1.0,25000.0,6.428840791599941,5060.85,0.003933761435522934
200-bar planar stepped tower,ga,5,316.6072735302927,317.7995893162495,1.0823285824183313,1.0,20000.0,402.2772129586001,25445.0,-98.75571910579568
200-bar planar stepped tower,nsga2,3,5824.172292017696,7619.296896662628,1883.2199205094814,1.0,15000.0,130.69221995833323,25445.0,-77.1107396658766
200-bar planar stepped tower,pso,5,315.89221550800573,318.3701477283372,3.095955512559204,1.0,20000.0,170.33544947479987,25445.0,-98.75852931614067
