algorithm,benchmark,seed,best_weight,feasible,max_stress,max_displacement,wall_time_s,n_evals,pareto_n_points
pso,200-bar planar stepped tower,42,316.14884184815264,True,249991168.21745196,0.03275244222856757,273.235340404,20000,0
pso,200-bar planar stepped tower,123,316.30591609403893,True,249997118.35465717,0.03275989911410763,275.6476390109999,20000,0
pso,200-bar planar stepped tower,456,321.49488007258486,True,249991204.91964093,0.03270437774716818,280.09751226599974,20000,0
pso,200-bar planar stepped tower,789,322.0088851177183,True,249913188.3349997,0.032588851593216346,278.4792879349998,20000,0
pso,200-bar planar stepped tower,2024,315.89221550800795,True,249995635.1761668,0.03274677123514792,277.2154304370001,20000,0
