output,r2_mean_pred,rmse_mean_pred,mean_predictive_std,corr_std_abs_err,coverage_90pi
weight,0.9981950432248836,55.454593658447266,156.21981811523438,0.20268638856725638,1.0
max_stress,0.8896617221192498,11792.9912109375,4166.0244140625,0.5238353335712574,0.866
max_disp,0.9393605722936337,0.6768768429756165,0.30242231488227844,0.7163092886545894,0.928
