weight_true,max_stress_true,max_disp_true,weight_mean,weight_std,max_stress_mean,max_stress_std,max_disp_mean,max_disp_std
8830.5205,12965.917,1.9923775,8830.053,191.75339,12126.856,1057.4344,2.0493243,0.102446094
6913.7383,15275.347,2.3776593,6882.0933,127.82206,14519.381,1308.1449,2.387796,0.10212688
7683.7607,22621.498,3.025999,7680.232,112.03392,19751.668,3454.6912,2.8254366,0.25439662
6846.4316,10652.136,2.2291799,6900.5015,109.52061,12748.5,983.85394,2.3006494,0.096711494
8040.2524,72248.16,7.671147,8115.065,180.39984,73119.85,10656.445,7.766217,1.0299464
6580.707,24561.178,2.7422416,6591.2227,121.972565,22794.35,1819.5465,2.8891244,0.11906104
7618.0273,18518.3,3.176765,7584.632,89.56209,20119.727,1244.5106,2.9673285,0.09911934
10641.6045,6052.5005,1.3468599,10618.207,491.89368,7428.2246,889.3112,1.3447676,0.1300118
7001.5854,40184.973,3.0172362,6969.527,115.35169,42189.34,8204.022,3.3535333,0.2722512
4709.0806,84362.766,8.249115,4742.7637,256.48395,85477.26,11368.618,8.173359,0.8526308
7013.3706,37601.777,3.6416385,7031.446,91.463066,39268.156,2227.542,3.9195898,0.1374198
6161.6816,29770.559,3.616836,6122.372,154.26567,28775.11,3888.9045,3.2878363,0.16681805
7940.869,58726.73,5.67005,7851.5425,137.87462,63541.13,9508.615,6.3055925,0.8201206
5882.88,22513.46,3.8969948,5924.102,150.70622,25618.467,1837.2904,3.887537,0.12892596
6782.429,41180.7,3.30834,6744.997,120.924324,35890.293,5929.7905,3.4234564,0.2567521
9518.444,11750.231,1.818734,9539.617,294.95212,10900.423,1083.9098,1.8370578,0.11433249
5654.2974,15482.218,2.9193096,5670.0474,160.82726,18576.441,1375.9537,3.1799042,0.14340924
10872.111,13587.526,1.919638,10841.85,500.04083,12787.879,1393.7134,1.9150468,0.13516076
7053.2896,15315.683,2.6821303,7080.0156,91.12621,15498.582,1121.5621,2.5963101,0.086896196
8064.1514,12968.739,2.2521281,8092.168,126.35074,13184.669,965.925,2.3371606,0.08888932
4775.809,19574.344,4.4089527,4746.9004,267.54578,23959.26,2196.6777,4.2263303,0.23485957
7664.1753,20515.992,2.9805052,7637.0273,86.88453,20009.51,1405.897,2.988704,0.096779376
6476.8364,25297.215,2.7413847,6490.2227,115.105515,30329.13,4261.2734,3.0811725,0.17782661
5191.5986,124505.85,10.200324,5192.701,214.06195,122763.7,21039.02,10.686738,1.3894198
6422.609,96690.49,7.9071455,6474.6577,136.24312,103292.09,19651.262,8.991962,1.2378572
8051.1826,46453.242,4.3354516,8029.987,117.889854,44004.29,3741.428,4.3842926,0.2693274
6442.867,26050.045,3.3948307,6430.375,112.18633,25050.508,1620.8804,3.4352221,0.11460604
5981.987,25090.268,3.1856833,6024.7705,152.34875,26901.695,3342.1238,3.4247735,0.27923727
7746.5664,6519.4053,1.7473181,7714.5776,142.68552,9631.672,906.47754,1.831028,0.10398647
8705.775,13201.866,1.9743816,8667.511,196.25595,12372.043,1056.406,2.0556083,0.09948881
9201.006,97197.09,10.019849,9421.924,356.23715,95789.65,16941.91,8.799635,1.3015027
4691.7314,98393.06,9.6905575,4729.695,262.12842,106005.8,14991.0625,11.115059,1.3718166
8407.709,14476.513,2.1274614,8447.88,143.26595,14187.624,1024.5118,2.0982122,0.105180845
7579.7075,16066.945,2.6686237,7571.0513,72.74545,17700.482,1436.8928,2.731418,0.10777114
6942.646,73205.65,5.904153,6988.187,142.7032,83508.5,12236.9795,6.0695086,0.5369327
5165.222,39596.85,3.9968503,5135.2876,242.6012,29254.518,3674.7126,3.8112063,0.22424532
5744.7563,26357.926,3.3744805,5780.74,134.97882,25787.357,1729.5922,3.4407966,0.14378156
5921.197,14785.133,3.0581884,5945.855,135.11392,19142.217,1803.8674,3.155968,0.14022616
7536.8506,7301.8687,1.6250465,7558.592,168.83394,9799.175,1003.8702,1.7473863,0.14359735
5284.0767,22721.355,4.308014,5295.0317,227.97844,23169.79,2286.9658,4.001991,0.26106063
6743.4214,24958.656,3.4983187,6710.085,105.05097,25305.15,1301.8181,3.5230927,0.11520716
7581.3257,19142.582,2.4813726,7574.67,92.18507,18650.635,1513.5387,2.5428762,0.087168515
