algorithm,benchmark,seed,best_weight,feasible,max_stress,max_displacement,wall_time_s,n_evals,pareto_n_points
pso,72-bar spatial tower,42,548.8544484407117,True,7849.845963531549,0.24999885531921695,207.42216727200002,50000,0
pso,72-bar spatial tower,123,548.8715636667314,True,7951.295499384015,0.24999932309454223,201.76951101600002,50000,0
pso,72-bar spatial tower,456,548.878470807372,True,7885.249298582759,0.24999964464768848,200.1107935729999,50000,0
pso,72-bar spatial tower,789,548.872056041435,True,8014.42987507429,0.24999740984340443,199.56269687100007,50000,0
pso,72-bar spatial tower,2024,548.9162691018619,True,7869.20778139506,0.24999602264862486,198.8358380090001,50000,0
