algorithm,benchmark,seed,best_weight,feasible,max_stress,max_displacement,wall_time_s,n_evals,pareto_n_points
pso,10-bar planar,42,5077.570818476353,True,20689.87272048816,1.9999894769041462,6.455440875000022,25000,0
pso,10-bar planar,123,5061.213863361889,True,24982.55035961692,1.9999952473575275,6.412989917000232,25000,0
pso,10-bar planar,456,5062.150260402086,True,24998.584808415093,1.9999935933774746,6.434394165999947,25000,0
pso,10-bar planar,789,5061.50596129835,True,24996.907634937026,1.999980797629981,6.415589917000034,25000,0
pso,10-bar planar,2024,5061.04908176561,True,24995.896592545017,1.9999906090584731,6.425789082999472,25000,0
