benchmark,llm_confidence,reasoning_chars,reasoning_words,n_seeds,median_speedup,iqr_speedup,median_weight_gain_abs,median_weight_gain_pct
10bar,0.82,325,55,40,2.013933911952316,2.814258658008658,-0.04732302883076045,-0.0010600207085614127
25bar,0.82,343,50,3,1.4444444444444444,5.005050505050505,4.422599232761286,0.8039409711358322
72bar,0.75,276,42,5,1.125,0.38370118845500856,1.0589861844370034,0.1920636860245887
