algorithm,benchmark,seed,best_weight,feasible,max_stress,max_displacement,wall_time_s,n_evals,pareto_n_points
ga,25-bar spatial,42,545.8972741762676,True,7256.360349570766,0.34999999999999515,84.57774047099997,50000,0
ga,25-bar spatial,123,546.8626299868109,True,7776.3572188281505,0.3499989334252115,78.49871510999992,50000,0
ga,25-bar spatial,456,546.5624972409178,True,7226.125782906096,0.3499999999965013,113.59699814500004,50000,0
ga,25-bar spatial,789,545.3022351922563,True,7035.796323070341,0.3499999999999999,136.93928357599998,50000,0
ga,25-bar spatial,2024,548.5831416442531,True,7803.459295059264,0.349999733992813,122.26738675699994,50000,0
