algorithm,benchmark,seed,best_weight,feasible,max_stress,max_displacement,wall_time_s,n_evals,pareto_n_points
ga,200-bar planar stepped tower,42,316.6072735302891,True,249996233.92272753,0.03268690797465485,275.739281503,20000,0
ga,200-bar planar stepped tower,123,318.2057388800695,True,249996009.9830024,0.03247310500216402,272.791950589,20000,0
ga,200-bar planar stepped tower,456,316.85312564032364,True,249982987.13739115,0.03262005056973674,273.76858327699995,20000,0
ga,200-bar planar stepped tower,789,319.25851272284956,True,249978640.7789957,0.032237331747465764,279.4494894070001,20000,0
ga,200-bar planar stepped tower,2024,318.073295807707,True,249959052.5006394,0.03260873186608575,275.0293294579999,20000,0
