benchmark,algorithm,n_seeds,median_tau,iqr_tau,median_r2,median_w_inf,median_tau_frac
10bar,ga,10,18.526627139054504,11.89512446363002,0.9692741623459293,5077.161259775978,0.037127509296702416
10bar,pso,5,19.686087761773447,13.36638346027211,0.9401442838842792,5064.214573087237,0.039451077678904704
200bar,ga,5,12.744665361135137,1.0203048658848033,0.9949488452174317,444.543901638151,0.06404354452831727
200bar,pso,5,13.4021454866293,2.161547090613908,0.996637889272396,316.7978749860996,0.06734746475693115
